State,District,Latitude,Longitude,Population,Male,Female,Male_Literate,Female_Literate,Households_with_Internet,Housholds_with_Electric_Lighting,Hindus,Sex Ratio,Literacy Rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,2741239,1369597,1371642,856350,626997,5512,566108,2399901,100,54
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,4081148,2064495,2016653,1338474,972486,8606,897970,3599372,98,57
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,4174064,2090204,2083860,1484794,1183084,13763,944555,3737588,100,64
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,5154296,2569688,2584608,1716933,1571644,22411,1297273,4983330,101,64
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,4887813,2440521,2447292,1634726,1325715,19383,1186028,4217597,100,61
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,3943323,2018575,1924748,1542688,1349467,149034,869721,2046051,95,73
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,3776269,1880800,1895469,1257238,949591,8831,926768,3491139,101,58
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,2797370,1390988,1406382,901640,728594,8628,668519,2595321,101,58
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,4517398,2267375,2250023,1598959,1410759,30438,1163932,4023678,99,67
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,4053463,2039227,2014236,1246369,880792,10081,816721,3328380,99,52
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,4053028,2050386,2002642,1158386,782260,6153,757821,3673456,98,48
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,3033288,1523030,1510258,953406,683731,8635,604719,2637313,99,54
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,3488809,1759772,1729037,1160757,840262,7715,789225,3249231,98,57
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,2551335,1250641,1300694,790214,599596,5261,545913,2123426,104,54
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,3397448,1714764,1682684,1107686,796749,6151,763746,3150195,98,56
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,2703114,1341738,1361376,857824,637557,3988,615432,2666950,101,55
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,2344474,1161477,1182997,707503,530885,4453,527736,2299129,102,53
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,3512576,1759281,1753295,1179790,885233,12952,828077,3273755,100,59
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,3936966,1964918,1972048,1379223,1273166,12050,1017568,3733191,100,67
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,148226,76948,71278,44027,29147,170,14593,47683,93,49
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,78690,38775,39915,21599,16850,57,5318,12333,103,49
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,99214,50116,49098,34210,28366,450,14231,27854,98,63
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,92076,45318,46758,20258,16348,95,3911,4859,103,40
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,145726,76221,69505,48380,34682,312,17157,99020,91,57
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,54080,28053,26027,18087,13762,207,5932,28915,93,59
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,83030,41843,41187,29470,24587,381,12493,9551,98,65
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,176573,89182,87391,65794,55254,2477,30539,57027,98,69
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,49977,29151,20826,17720,8353,96,8635,11842,71,52
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,111975,57604,54371,29313,18661,98,16026,20682,94,43
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,35320,18699,16621,10723,7472,97,6198,5261,89,52
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,83448,41758,41690,24807,20471,139,5373,13474,100,54
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,83947,46155,37792,29566,18926,202,14188,31265,82,58
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,112274,58168,54106,36777,27969,303,14204,15881,93,58
Assam,Barpeta,26.427872264631056,90.97912010178116,1693622,867004,826618,499038,398020,2078,84804,492966,95,53
Assam,Bongaigaon,26.45012521994133,90.6734296187684,738804,375818,362986,237114,196964,2523,49866,359145,97,59
Assam,Cachar,24.815570668693017,92.86849650455927,1736617,886284,850333,639946,534182,5316,140205,1038985,96,68
Assam,Darrang,26.58463215962442,92.04141338028155,928500,475273,453227,268666,218373,1166,45444,327322,95,52
Assam,Dhemaji,27.586533438485816,94.71336908517353,686133,351249,334884,237761,185267,1192,28195,655052,95,62
Assam,Dibrugarh,27.30612284482757,95.0998282327587,1326335,676434,649901,491361,393170,8817,136685,1198401,96,67
Assam,Goalpara,26.017277777777807,90.59869891598912,1008183,513292,494891,304302,259275,1364,78641,347878,96,56
Assam,Golaghat,26.377219709794485,93.82583397823468,1066888,543161,523727,396475,325289,3073,82345,917426,96,68
Assam,Hailakandi,24.457496089385486,92.59154664804475,659296,337890,321406,226836,180530,1211,44143,251194,95,62
Assam,Jorhat,26.76244824016563,94.30197722567289,1092256,556805,535451,432335,362594,5651,122063,1008219,96,73
Assam,Kamrup,26.170939452054807,91.58863273972592,1517542,778461,739081,550219,445100,3109,122191,877495,95,66
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,956313,490167,466146,314253,242961,1923,53918,766000,95,58
Assam,Karimganj,24.69660712250711,92.3679498575498,1228686,625864,602822,435942,359355,1933,70951,521962,96,65
Assam,Kokrajhar,26.497246635730868,90.13997470997688,887142,452905,434237,275220,214085,1218,41373,529068,96,55
Assam,Lakhimpur,27.14128805970149,94.0775949253732,1042137,529674,512463,375552,307934,1948,60296,797130,97,66
Assam,Nagaon,26.26462170626351,92.9306191144708,2823768,1439112,1384656,921850,788866,5121,195631,1225246,96,61
Assam,Nalbari,26.46323767605632,91.40598521126763,771639,396006,375633,293184,238587,1631,68313,491582,95,69
Assam,Sonitpur,26.73514926829268,92.85197804878044,1924110,983904,940206,620525,488047,4358,133368,1422824,96,58
Assam,Tinsukia,27.53549291139241,95.69055949367085,1327929,680231,647698,453449,344873,5135,161718,1181347,95,60
Bihar,Araria,26.211528119180603,87.30766554934816,2811569,1463333,1348236,727643,468125,2561,43290,1593525,92,43
Bihar,Aurangabad,24.774291867469877,84.45986024096379,2540073,1318684,1221389,868733,597269,2362,44456,2291133,93,58
Bihar,Aurangabad,24.774291867469877,84.45986024096379,3701282,1924469,1776813,1430936,1072901,23258,589477,2545438,92,68
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,2540073,1318684,1221389,868733,597269,2362,44456,2291133,93,58
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,3701282,1924469,1776813,1430936,1072901,23258,589477,2545438,92,68
Bihar,Banka,24.832355642023337,86.8664916342413,2034763,1067140,967623,590961,374360,1704,62359,1772655,91,47
Bihar,Begusarai,25.54302613168723,86.12560144032932,2970541,1567660,1402881,918507,630166,4644,120373,2554330,89,52
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,3037766,1615663,1422103,937669,635397,6764,174534,2487866,88,52
Bihar,Bhojpur,25.50666439393939,84.49407803030304,2728407,1430380,1298027,973486,625665,3661,62153,2518216,91,59
Bihar,Buxar,25.48593018867924,84.08808081760995,1706352,887977,818375,593544,396263,1784,46760,1591454,92,58
Bihar,Darbhanga,26.146187719298258,85.97387352472099,3937385,2059949,1877436,1125566,691068,6280,127442,3042729,91,46
Bihar,Gaya,24.7266541547278,84.94291217765044,4391418,2266566,2124852,1368803,928810,6856,112617,3876395,94,52
Bihar,Gopalganj,26.44874364161851,84.34636127167629,2562012,1267666,1294346,793905,589093,3707,69375,2119262,102,54
Bihar,Jamui,24.78418380462726,86.26316298200514,1760405,916064,844341,534385,324203,1839,32633,1525746,92,49
Bihar,Jehanabad,25.155679045643165,84.9208124481328,1125313,585582,539731,374412,244469,1106,27641,1045117,92,55
Bihar,Katihar,25.56565356037151,87.70466083591326,3071029,1600430,1470599,762256,517934,2941,60900,1684589,92,42
Bihar,Khagaria,25.53558891454964,86.56593256351037,1666886,883786,783100,461153,306875,1580,40641,1486989,89,46
Bihar,Kishanganj,26.324336758321294,87.95045007235886,1690400,866970,823430,439921,305135,1093,58718,531236,95,44
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,1000912,526345,474567,305182,202088,1186,44491,956396,90,51
Bihar,Madhepura,25.77341929460581,86.8978443983403,2001762,1047559,954203,517666,316911,1397,23236,1753829,91,42
Bihar,Madhubani,26.41380538172716,86.16328360450552,4487379,2329313,2158066,1340085,815253,5319,113281,3652168,93,48
Bihar,Munger,25.198537962962963,86.54173672839504,1367765,729041,638724,473741,328076,2653,90461,1252319,88,59
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,4801062,2527497,2273565,1487117,1022115,10290,180651,4032773,90,52
Bihar,Nalanda,25.229345508982053,85.48053113772461,2877653,1497060,1380593,919558,600375,4156,101378,2669775,92,53
Bihar,Nawada,24.825708836206903,85.61594568965519,2219146,1144668,1074478,659474,431538,1841,31162,1964620,94,49
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,3935042,2061110,1873932,1091226,668255,3495,57546,3047427,91,45
Bihar,Patna,25.40297114503818,85.3198433587787,5838465,3078512,2759953,2028047,1431632,40692,546859,5356075,90,59
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,5099371,2681209,2418162,1407603,869354,7719,74979,4086453,90,45
Bihar,Purnia,25.81714801901739,87.40447606973065,3264619,1699370,1565249,805261,527065,4170,86058,1989420,92,41
Bihar,Rohtas,24.99170460829495,83.9350762672811,2959918,1543546,1416372,1061783,738049,4594,114893,2645415,92,61
Bihar,Saharsa,25.821270696721303,86.54670819672135,1900661,997174,903487,506374,298622,1668,41342,1629254,91,42
Bihar,Samastipur,25.793205563909765,85.94833323308269,4261566,2230003,2031563,1293575,849305,5379,88021,3800598,91,50
Bihar,Saran,25.89656077844312,84.82266287425155,3951862,2022821,1929041,1285767,871687,4509,94787,3534772,95,55
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,636342,329743,306599,196431,132245,631,20065,596102,93,52
Bihar,Sheohar,26.458380748663107,85.29539411764709,656246,346673,309573,171645,112053,478,10004,552492,89,43
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,3423574,1803252,1620322,885188,551606,3460,66263,2672311,90,42
Bihar,Siwan,26.1736372013652,84.33766552901022,3330464,1675090,1655374,1115906,814269,3834,52935,2712635,99,58
Bihar,Supaul,26.28157893772896,86.78496465201461,2229076,1155283,1073793,647672,385611,1845,51028,1809936,93,46
Bihar,Vaishali,25.8134703180212,85.39247597173153,3495021,1844535,1650486,1152576,774164,4810,70001,3152346,89,55
Chandigarh,Chandigarh,30.7426,76.75872465753424,1055450,580663,474787,465346,340092,44283,231204,852574,82,76
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,1413199,698487,714712,382335,268528,1782,157646,1277975,102,46
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,381956,192764,189192,155599,132021,1574,79146,371973,98,75
